"type","name","database","data__id","data__team_id","data__name","data__role","data__runs","data__wickets","data__balls_faced","data__overs_bowled","data__created_at","data__fours","data__sixes","data__maidens","version","comment"
"header","","","","","","","","","","","","","","","5.2.1","Export to JSON plugin for PHPMyAdmin"
"database","cricket_score","","","","","","","","","","","","","","",""
"table","players","cricket_score","1","1","Babar Azam","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","2","1","Muhammad Rizwan (c) (wk)","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","3","1","Saim Ayub","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","4","1","Omair Yousuf","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","5","1","Saim Ayub","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","6","1","Usman Khan","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","7","1","Salman Agha","All-Rounder","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","8","1","Abbas Afridi","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","9","1","Haris Rauf","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","10","1","Naseem Shah","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","11","1","Shaheen Shah Afridi","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","12","2","Rohit Sharma","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","13","2","Sarfraz Khan","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","14","2","Virat Kohli","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","15","2","Rishabh Pant (wk)","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","16","2","Shubman Gill","Batsman","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","17","2","Ravichandran Ashwin","All-Rounder","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","18","2","Ravindra Jadeja","All-Rounder","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","19","2"," Jasprit Bumrah (vc)","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","20","2","Mohammed Siraj","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","21","2","Harshit Rana","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
"","","","22","2","Akash Deep","Bowler","0","0","0","0","2025-01-08 19:02:10","null","null","null","",""
